session_id,date,city,state,address,latitude,longitude,court_name,session_type,court_type,time_spent_mins,weekday
1,11/1/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,120,Wednesday
2,11/2/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,180,Thursday
3,11/7/2023,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,90,Tuesday
4,11/8/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,150,Wednesday
5,11/9/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,180,Thursday
6,11/14/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,180,Tuesday
7,11/15/2023,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,180,Wednesday
8,11/21/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,240,Tuesday
9,11/22/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,150,Wednesday
10,11/24/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,360,Friday
11,11/25/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,420,Saturday
12,11/28/2023,kissimmee,florida,3251 prime park circle,28.3449327,-81.4754674,prime_community,drill,outdoors,120,Tuesday
13,11/28/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,180,Tuesday
14,11/29/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,270,Wednesday
15,12/1/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,60,Friday
16,12/6/2023,san_mateo,california,2720 alameda de las pulgas,37.5379,-122.3121,beresford_park,recreation,outdoors,60,Wednesday
17,12/7/2023,san_mateo,california,2720 alameda de las pulgas,37.5379,-122.3121,beresford_park,recreation,outdoors,30,Thursday
18,12/10/2023,piedmont,california,100 lake ave,37.8239,-122.3121,beach_elementary,recreation,outdoors,120,Sunday
19,12/11/2023,santa_cruz,california,1451 30th ave,36.97078,-121.97441,brommer_park,recreation,outdoors,30,Monday
20,12/12/2023,daly_city,california,1150 wayland st,37.72252746,-122.4127406,louis_sutter_park,recreation,outdoors,60,Tuesday
21,12/13/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,180,Wednesday
22,12/14/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,180,Thursday
23,12/15/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,180,Friday
24,12/17/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,90,Sunday
25,12/19/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,120,Tuesday
26,12/20/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,60,Wednesday
27,12/21/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,150,Thursday
28,12/23/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,60,Saturday
29,12/26/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,180,Tuesday
30,12/27/2023,saint_cloud,florida,317 delaware ave,28.25608274,-81.27168644,godwin_park,recreation,outdoors,180,Wednesday
31,12/28/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,150,Thursday
32,12/29/2023,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,150,Friday
33,1/1/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,60,Monday
34,1/2/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,240,Tuesday
35,1/3/2024,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,180,Wednesday
36,1/3/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,60,Wednesday
37,1/4/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,240,Thursday
38,1/5/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,240,Friday
39,1/6/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,180,Saturday
40,1/7/2024,orlando,florida,8151 lake forest dr,28.38163394,-81.49327608,mickeys_retreat,drill,outdoors,60,Sunday
41,1/8/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,180,Monday
42,1/9/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,120,Tuesday
43,1/9/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,300,Tuesday
44,1/10/2024,oldsmar,florida,423 lafayette blvd,28.0311,-82.6569,bicentennial_park,recreation,outdoors,240,Wednesday
45,1/11/2024,orlando,florida,1400 gaston foster rd,28.52556489,-81.32574814,dover_shores,recreation,outdoors,60,Thursday
46,1/13/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,180,Saturday
47,1/15/2024,orlando,florida,8151 lake forest dr,28.38163394,-81.49327608,mickeys_retreat,drill,outdoors,60,Monday
48,1/16/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,90,Tuesday
49,1/17/2024,saint_cloud,florida,317 delaware ave,28.25608274,-81.27168644,godwin_park,recreation,outdoors,240,Wednesday
50,1/17/2024,orlando,florida,8151 lake forest dr,28.38163394,-81.49327608,mickeys_retreat,drill,outdoors,90,Wednesday
51,1/18/2024,orlando,florida,1400 gaston foster rd,28.52556489,-81.32574814,dover_shores,recreation,outdoors,180,Thursday
52,1/19/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,90,Friday
53,1/20/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,300,Saturday
54,1/21/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,60,Sunday
55,1/22/2024,saint_cloud,florida,317 delaware ave,28.25608274,-81.27168644,godwin_park,recreation,outdoors,300,Monday
56,1/23/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,90,Tuesday
57,1/23/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,270,Tuesday
58,1/24/2024,saint_cloud,florida,317 delaware ave,28.25608274,-81.27168644,godwin_park,recreation,outdoors,240,Wednesday
59,1/24/2024,orlando,florida,8151 lake forest dr,28.38163394,-81.49327608,mickeys_retreat,drill,outdoors,120,Wednesday
60,1/25/2024,orlando,florida,8151 lake forest dr,28.38163394,-81.49327608,mickeys_retreat,drill,outdoors,60,Thursday
61,1/26/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,120,Friday
62,1/27/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,240,Saturday
63,1/28/2024,orlando,florida,1400 gaston foster rd,28.52556489,-81.32574814,dover_shores,recreation,outdoors,120,Sunday
64,1/28/2024,winter_garden,florida,420 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,120,Sunday
65,1/29/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,120,Monday
66,1/30/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,180,Tuesday
67,1/31/2024,oldsmar,florida,423 lafayette blvd,28.0311,-82.6569,bicentennial_park,recreation,outdoors,90,Wednesday
68,1/31/2024,orlando,florida,8151 lake forest dr,28.38163394,-81.49327608,mickeys_retreat,drill,outdoors,120,Wednesday
69,2/1/2024,orlando,florida,8151 lake forest dr,28.38163394,-81.49327608,mickeys_retreat,drill,outdoors,90,Thursday
70,2/2/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,90,Friday
71,2/2/2024,orlando,florida,10026 lake district ln,28.42222748,-81.23571041,east_park,drill,outdoors,60,Friday
72,2/2/2024,orlando,florida,1400 gaston foster rd,28.52556489,-81.32574814,dover_shores,recreation,outdoors,120,Friday
73,2/2/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,90,Friday
74,2/3/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,90,Saturday
75,2/4/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,30,Sunday
76,2/4/2024,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,150,Sunday
77,2/5/2024,saint_cloud,florida,317 delaware ave,28.25608274,-81.27168644,godwin_park,recreation,outdoors,30,Monday
78,2/5/2024,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,240,Monday
79,2/6/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,90,Tuesday
80,2/6/2024,orlando,florida,10026 lake district ln,28.42222748,-81.23571041,east_park,recreation,outdoors,180,Tuesday
81,2/6/2024,winter_garden,florida,420 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,90,Tuesday
82,2/7/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,270,Wednesday
83,2/8/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,60,Thursday
84,2/8/2024,orlando,florida,8151 lake forest dr,28.38163394,-81.49327608,mickeys_retreat,drill,outdoors,30,Thursday
85,2/9/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,90,Friday
